ticket_id,enteredDate,lastModified,closedDate,status,contactMethod,category,description,department,location,city,state,zip,latitude,longitude
154746,"2016-08-11 11:04:29","2019-01-10 08:51:31","2016-08-22 09:34:31",closed,"Phone Call","Blocked Sidewalk","these folks planted some bushes between the sidewalk and the street. The bushes grow each year and block at least 1/2 of the sidewalk. they also protrude into the street.",,"410 N Park Ridge RD",Bloomington,IN,47408,39.16952514648438,-86.47484588623047
154772,"2016-08-12 09:09:35","2019-01-10 08:51:31","2016-08-31 10:33:48",closed,Other,"Blocked Sidewalk","West side of Madison, south of 14th. City-owned property is unmaintained. Overgrowth blocks crucial sidewalk.",,"877-899 North Rogers Street",Bloomington,IN,,39.17542648315430,-86.53788757324219
154933,"2016-08-17 14:37:56","2016-09-11 22:02:05","2016-08-23 08:25:08",closed,Other,"Blocked Sidewalk","brush intruding on walkway from Arlington school toward pedestrian connector to Skyline forcing my wheelchair into the grass","Utilities T & D",,Bloomington,IN,,,
154935,"2016-08-17 15:27:49","2016-09-11 22:02:05","2016-08-31 10:49:36",closed,Other,"Blocked Sidewalk","Almost every day a different car is parked on the sidewalk here (despite having a full private driveway)",,"411 W 2nd St",Bloomington,IN,,39.16130065917969,-86.53810119628906
154981,"2016-08-19 12:24:21","2016-09-11 22:02:05","2016-08-31 10:44:09",closed,Other,"Blocked Sidewalk",,,"502 S Washington ST",Bloomington,IN,47401,39.16117095947266,-86.53267669677734
155144,"2016-08-24 12:37:27","2016-10-14 14:09:15","2016-10-14 14:09:15",closed,Other,"Blocked Sidewalk","I tried calling, thinking it would be faster, but there are no relevant reporting options on the menu. This car keeps parking on the sidewalk instead of pulling into their private driveway. 501 s rogers but the driveway entrance is on howe.",,"544–598 S Rogers St",Bloomington,IN,,39.16181564331055,-86.53878021240234
155174,"2016-08-24 15:03:41","2016-09-11 22:02:05","2016-08-24 15:57:51",closed,Other,"Blocked Sidewalk","There's now another vehicle parked on the sidewalk on the howe side of 501 s rogers (i walk by here a few times a day)","Planning and Transportation",,Bloomington,IN,,,
155239,"2016-08-29 11:55:36","2016-10-14 14:08:11","2016-10-14 14:08:11",closed,Other,"Blocked Sidewalk","New tenants have been parking too close to street on driveway so that they are blocking the sidewalk.",,"401 E Cottage Grove AVE",Bloomington,IN,47408,39.17282485961914,-86.52959442138672
155245,"2016-08-29 15:46:30","2016-09-11 22:02:05","2016-08-30 13:49:15",closed,Other,"Blocked Sidewalk","I very suddenly had to walk out in the road, afraid of drivers not seeing me, because of this construction. There's no warning leading up to it that the sidewalk is closed. And there's no sidewalk on the other side of the street so turning around and crossing wasn't an option. Southwest side of 2nd & Patterson 3:45pm","Planning and Transportation","1209 W 2nd ST",Bloomington,IN,47403,39.16055679321289,-86.54878997802734
155398,"2016-09-03 13:54:38","2016-09-12 00:00:00","2016-09-12 00:00:00",closed,Other,"Blocked Sidewalk","Tree blocking entire sidewalk on north side of Grimes. I might have placed it in wrong block, but it is mid-block.","Street Department","707 E Grimes LN",Bloomington,IN,47401,39.15342330932617,-86.52539062500000
155399,"2016-09-03 13:56:31","2019-01-10 08:51:31","2016-10-19 11:42:31",closed,Other,"Blocked Sidewalk","small tree/bush blocking sidewalk. Appears to be in front of no one's property.",,"1210-1298 South Henderson Street",Bloomington,IN,,39.15252304077148,-86.52700042724610
155499,"2016-09-06 09:01:00","2016-09-12 00:00:00","2016-09-12 00:00:00",closed,Other,"Blocked Sidewalk","suv parked on sidewalk. 302 east 7th street.",,,Bloomington,IN,,,
155610,"2016-09-08 20:23:41","2019-01-10 08:51:31","2017-01-31 09:45:45",closed,Other,"Blocked Sidewalk","North side of E Thornton Drove, between Bluffstone Ct and Greystone act. Sidewalk is obstructed by overgrown vegetation.",,,Bloomington,IN,,,
155959,"2016-09-16 10:18:24","2019-01-10 08:51:31","2016-10-06 10:08:11",closed,Other,"Blocked Sidewalk","Pedestrians will be hit in the face if they walk on this sidewalk on Atwater. The house the trees belong to, however, is at 401 Swain.",,,Bloomington,IN,,,
155965,"2016-09-16 14:08:04","2019-01-10 08:51:31","2017-01-31 09:44:36",closed,Other,"Blocked Sidewalk","Not sure if it's 2705 or 2708 Redwood Circle, but the sidewalk is COMPLETELY obscured and there is now a path worn through the grass from everyone trying to get through.
.",,"2705 Redwood Circle East",Bloomington,IN,,39.13647079467773,-86.49990844726562
155967,"2016-09-16 14:19:23","2019-01-10 08:51:31","2016-10-06 10:06:43",closed,Other,"Blocked Sidewalk","The address is 3401 Ashwood Dr.  The bushes are so overgrown that they are completely covering the sidewalk and have caused it to fall apart.",,"3225 S Coppertree DR",Bloomington,IN,47401,39.13325119018555,-86.50483703613281
155977,"2016-09-18 01:45:19","2019-01-10 08:51:31","2016-10-05 11:35:25",closed,Other,"Blocked Sidewalk","Sidewalk on north side of 2nd St blocked  by tree / bush. 20 yds west of Fess",,,Bloomington,IN,,,
155978,"2016-09-18 09:41:57","2019-01-10 08:51:31","2016-10-05 11:34:38",closed,Other,"Blocked Sidewalk","Overhang. Woodlawn above 2 d street",,,Bloomington,IN,,,
155979,"2016-09-18 09:43:05","2019-01-10 08:51:31","2016-10-05 11:33:02",closed,Other,"Blocked Sidewalk","Overhang. Hunter west of woodlawn.",,,Bloomington,IN,,,
155980,"2016-09-18 09:54:24","2019-01-10 08:51:31","2016-10-05 11:32:20",closed,Other,"Blocked Sidewalk","Overhang. Little Tibet restaurant. 4th at west of Dunn. Met with owner 9.20.16 he said he would trim this week.",,,Bloomington,IN,,,
