ticket_id,enteredDate,lastModified,closedDate,status,contactMethod,category,description,department,location,city,state,zip,latitude,longitude
14607,"2008-10-27 04:00:00","2016-09-11 22:02:05","2008-10-27 04:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","Shrubs growing onto the sidewalk.  Lots of pine needles on the sidewalk and a pile of weeds.",HAND,"713 S CLIFTON CTR",Bloomington,IN,,,
17808,"2008-05-12 04:00:00","2016-09-11 22:02:05","2008-05-12 04:00:00",closed,"Phone Call","Sidewalk & Curb Complaints",,HAND,"910 S Washington ST",Bloomington,IN,47401,39.15597534179688,-86.53265380859375
18295,"2008-04-11 04:00:00","2016-09-11 22:02:05","2008-04-11 04:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","sedimentation, dirt complaint",HAND,"1001 E 1st ST",Bloomington,IN,47401,39.15939331054688,-86.52232360839844
23836,"2007-05-10 04:00:00","2016-09-11 22:02:05","2007-05-10 04:00:00",closed,Other,"Sidewalk & Curb Complaints","Sidewalk is covered in mud and makes the sidewalk slick.",HAND,"515 E 7th ST",Bloomington,IN,47408,39.16869354248047,-86.52761840820312
24435,"2007-02-07 05:00:00","2016-09-11 22:02:05","2007-02-07 05:00:00",closed,Other,"Sidewalk & Curb Complaints","sidewalks covered with ice and snow, on both sides of road between 3000 E. Covenanter up to S. Auto Mall Road, man is blind and assisted by seeing-eye dog which is forced to lead him into the street since walkways are covered. Called Public Works, Laurel Waters took info, passed it onto HAND.",HAND,"3000 E COVENANTER DR",Bloomington,IN,,,
24467,"2007-01-31 05:00:00","2016-09-11 22:02:05","2007-01-31 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","snow and ice accumulation, slippery, never cleared away, makes for dangerous passage",HAND,"1223 W 11th ST",Bloomington,IN,47404,39.17307662963867,-86.54963684082031
24482,"2007-01-29 05:00:00","2016-09-11 22:02:05","2007-01-29 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","sidewalk lower than street level at point where sidewalk wraps around tree, water forms and creates mud hole",,"2222 E 3rd ST",Bloomington,IN,47401,39.16375350952148,-86.50687408447266
31989,"2005-03-18 05:00:00","2016-09-11 22:02:05","2005-03-18 05:00:00",closed,Email,"Sidewalk & Curb Complaints","Sidewalk in front of side door on Stull Street is all broken up.",,"714 E 1st ST",Bloomington,IN,47401,39.15916061401367,-86.52498626708984
32474,"2005-02-07 05:00:00","2016-09-11 22:02:05","2005-02-07 05:00:00",closed,Other,"Sidewalk & Curb Complaints","Says he has trouble pushing his baby carriage over the bumpy sidewalk.",HAND,"612 S Fess AVE",Bloomington,IN,47401,39.16089630126953,-86.52615356445312
34523,"2004-09-21 05:00:00","2016-09-11 22:02:05","2004-09-21 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","The Mayor's Office received a call from Jennifer from Stonebelt regarding the condition of a section of sidewalk across from St. Charles School in front of the Fire Station.  She also states that she does not feel that it is ADA Compliant.",,"2201 E 3rd ST",Bloomington,IN,47408,39.16448974609375,-86.50651550292969
38721,"2003-11-19 05:00:00","2016-09-11 22:02:05","2003-11-19 05:00:00",closed,Email,"Sidewalk & Curb Complaints","It was reported that a citzen contacted the Engineering Dept. Re: end construction sign that they thougth was left over from the College Mall Rd. Constrction at Eastland Plaza. The Citizen stated that the sign was in the path of the sidwalk causeing problems for pedestrians.  The Citizen thought that the College Mall project was over.",,"300 S College Mall RD",Bloomington,IN,47401,39.16358184814453,-86.49849700927734
40024,"2003-08-04 05:00:00","2016-09-11 22:02:05","2003-08-04 05:00:00",closed,,"Sidewalk & Curb Complaints","retaining wall has fallen into the sidewalk.",,"622 W 6th ST",Bloomington,IN,47404,39.16779708862305,-86.54073333740234
44309,"2002-06-14 05:00:00","2016-09-11 22:02:05","2002-06-14 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","Caller reports steel rods/bolts sticking approx. 6-8"" above the sidewalk (at edge of sidewalk) on the west side of the street next to the ball field on Henderson and before entering Winslow Farms Addition.  Caller reports a vehicle hit the utility pole and damaged the area leaving the steel rods exposed and dangerous for pedestrians/kids.",,"S HENDERSON ST",Bloomington,IN,,,
45251,"2002-05-15 05:00:00","2016-09-11 22:02:05","2002-05-15 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","Ms. Becker called to complain that a section of sidewalk on Sare Road between East Rogers Road and Sheerwood Christin Church's drive was caked with mud.  I asked Asst. Engineering Services Manager, Rick Alexander, to determine whether it was an erosion control issue.  He determined that it was not and stated that the sidewalk just needs cleaned up by the property owner.  Ms. Becker would like a call back after an inspection has been completed.  The sidewalk is on the south west corner.",,"2700 E Rogers RD",Bloomington,IN,47401,39.13491821289062,-86.50096130371094
56456,"1999-09-30 05:00:00","2016-09-11 22:02:05","1999-09-30 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","Beth Holbrook called about a missing sidewalk linkage on the west side of S.Sare Road from Buttonwood Lane to a point about 250 yards south.  She observes that access to the new middle school and park would be served by completing sidewalk. She acknowledges that the sidewalk on the east side of Sare Road would provide access.  But it also needs to be completed.  Please explore who is responsible for doing sidewalks and when they could be completed.  I will notify sidewalk committee of concern.",,"2898 S Sare RD",Bloomington,IN,47401,39.14166259765625,-86.49704742431640
56457,"1999-09-30 05:00:00","2016-09-11 22:02:05","1999-09-30 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","Beth Holbrook called about a missing sidewalk linkage on the west side of S.Sare Road from Buttonwood Lane to a point about 250 yards south.  She observes that access to the new middle school and park would be served by completing sidewalk. She acknowledges that the sidewalk on the east side of Sare Road would provide access.  But it also needs to be completed.  Please explore who is responsible for doing sidewalks and when they could be completed.  I will notify sidewalk committee of concern.",,"2898 S Sare RD",Bloomington,IN,47401,39.14166259765625,-86.49704742431640
61588,"1998-09-21 05:00:00","2016-09-11 22:02:05","1998-09-21 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","Mr. Lake called to notify us that the curbs in front of his residence are deteriorating and would like to know if they will be repaired.  He would like someone from Engineering to come out and take a look at it and contact him about this issue.",,"329 S Buckner ST",Bloomington,IN,47403,39.16333770751953,-86.54441070556640
61950,"1998-09-02 05:00:00","2016-09-11 22:02:05","1998-09-02 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","the sidewalk next to Owens Electric, on the 4th St. side is in terrible condition. it is dangerous for peds.  A wheel chair cannot navigate this sidewalk at all.",,"116 S Madison ST",Bloomington,IN,47404,39.16600799560547,-86.53775024414062
61951,"1998-09-02 05:00:00","2016-09-11 22:02:05","1998-09-02 05:00:00",closed,"Phone Call","Sidewalk & Curb Complaints","The sidewalk in front of this house is in terrible condition.  difficult for wheel chair passage",,"702 W 4th ST",Bloomington,IN,47404,39.16580581665039,-86.54109191894531
