ticket_id,category,description,department,location,city,state,zip,latitude,longitude,sent_iment
154746,Blocked Sidewalk,these folks planted some bushes between the sidewalk and the street. The bushes grow each year and block at least 1/2 of the sidewalk. they also protrude into the street.,,410 N Park Ridge RD,Bloomington,IN,47408.0,39.16952514648438,-86.47484588623047,NEGATIVE
154772,Blocked Sidewalk,"West side of Madison, south of 14th. City-owned property is unmaintained. Overgrowth blocks crucial sidewalk.",,877-899 North Rogers Street,Bloomington,IN,,39.1754264831543,-86.53788757324219,NEUTRAL
154933,Blocked Sidewalk,brush intruding on walkway from Arlington school toward pedestrian connector to Skyline forcing my wheelchair into the grass,Utilities T & D,,Bloomington,IN,,,,NEUTRAL
154935,Blocked Sidewalk,Almost every day a different car is parked on the sidewalk here (despite having a full private driveway),,411 W 2nd St,Bloomington,IN,,39.16130065917969,-86.53810119628906,NEUTRAL
154981,Blocked Sidewalk,in,,502 S Washington ST,Bloomington,IN,47401.0,39.161170959472656,-86.53267669677734,NEUTRAL
155144,Blocked Sidewalk,"I tried calling, thinking it would be faster, but there are no relevant reporting options on the menu. This car keeps parking on the sidewalk instead of pulling into their private driveway. 501 s rogers but the driveway entrance is on howe.",,544–598 S Rogers St,Bloomington,IN,,39.16181564331055,-86.53878021240234,NEGATIVE
155174,Blocked Sidewalk,There's now another vehicle parked on the sidewalk on the howe side of 501 s rogers (i walk by here a few times a day),Planning and Transportation,,Bloomington,IN,,,,NEUTRAL
155239,Blocked Sidewalk,New tenants have been parking too close to street on driveway so that they are blocking the sidewalk.,,401 E Cottage Grove AVE,Bloomington,IN,47408.0,39.17282485961914,-86.52959442138672,NEUTRAL
155245,Blocked Sidewalk,"I very suddenly had to walk out in the road, afraid of drivers not seeing me, because of this construction. There's no warning leading up to it that the sidewalk is closed. And there's no sidewalk on the other side of the street so turning around and crossing wasn't an option. Southwest side of 2nd & Patterson 3:45pm",Planning and Transportation,1209 W 2nd ST,Bloomington,IN,47403.0,39.16055679321289,-86.54878997802734,NEGATIVE
155398,Blocked Sidewalk,"Tree blocking entire sidewalk on north side of Grimes. I might have placed it in wrong block, but it is mid-block.",Street Department,707 E Grimes LN,Bloomington,IN,47401.0,39.15342330932617,-86.525390625,NEGATIVE
155399,Blocked Sidewalk,small tree/bush blocking sidewalk. Appears to be in front of no one's property.,,1210-1298 South Henderson Street,Bloomington,IN,,39.15252304077148,-86.5270004272461,NEUTRAL
155499,Blocked Sidewalk,suv parked on sidewalk. 302 east 7th street.,,,Bloomington,IN,,,,NEUTRAL
155610,Blocked Sidewalk,"North side of E Thornton Drove, between Bluffstone Ct and Greystone act. Sidewalk is obstructed by overgrown vegetation.",,,Bloomington,IN,,,,NEUTRAL
155959,Blocked Sidewalk,"Pedestrians will be hit in the face if they walk on this sidewalk on Atwater. The house the trees belong to, however, is at 401 Swain.",,,Bloomington,IN,,,,NEUTRAL
155965,Blocked Sidewalk,"Not sure if it's 2705 or 2708 Redwood Circle, but the sidewalk is COMPLETELY obscured and there is now a path worn through the grass from everyone trying to get through.
.",,2705 Redwood Circle East,Bloomington,IN,,39.13647079467773,-86.49990844726562,NEGATIVE
155967,Blocked Sidewalk,The address is 3401 Ashwood Dr. The bushes are so overgrown that they are completely covering the sidewalk and have caused it to fall apart.,,3225 S Coppertree DR,Bloomington,IN,47401.0,39.13325119018555,-86.50483703613281,NEGATIVE
155977,Blocked Sidewalk,Sidewalk on north side of 2nd St blocked by tree / bush. 20 yds west of Fess,,,Bloomington,IN,,,,NEUTRAL
155978,Blocked Sidewalk,Overhang. Woodlawn above 2 d street,,,Bloomington,IN,,,,NEUTRAL
155979,Blocked Sidewalk,Overhang. Hunter west of woodlawn.,,,Bloomington,IN,,,,NEUTRAL
155980,Blocked Sidewalk,Overhang. Little Tibet restaurant. 4th at west of Dunn. Met with owner 9.20.16 he said he would trim this week.,,,Bloomington,IN,,,,NEUTRAL
155981,Blocked Sidewalk,"Blocked. Corner Lincoln and 4th.
Notified U Methodist Church that blue spruce will need to be trimmed or removed. 9.19.16",,,Bloomington,IN,,,,NEUTRAL
156084,Blocked Sidewalk,There is a Jeep intruding on the sidewalk here near the corner of Atwater and Jordan. Sidewalk is already very narrow as it is.,,402 S Jordan AVE,Bloomington,IN,47401.0,39.163002014160156,-86.51666259765625,NEGATIVE
156175,Blocked Sidewalk,Damaged sign. University and woodlawn.,Street Department,,Bloomington,IN,,,,NEUTRAL
156287,Blocked Sidewalk,"Junk in yard as a ""yard sale"" blocking sidewalk",Planning and Transportation,2615 S Rockport RD,Bloomington,IN,47403.0,39.13897323608398,-86.54581451416016,NEGATIVE
156303,Blocked Sidewalk,9th east of Fairview,Street Department,,Bloomington,IN,,,,NEUTRAL
156304,Blocked Sidewalk,9th and Jackson,,,Bloomington,IN,,,,NEUTRAL
156305,Blocked Sidewalk,Jackson s of 9th,Street Department,,Bloomington,IN,,,,NEUTRAL
156307,Blocked Sidewalk,"Sidewalk on east side of Rogers between 3rd and 4th, in front of outlet store, is often blocked by cars. Customers park on the sidewalk, meaning pedestrians have to walk on the busy street or cross the street.",,,Bloomington,IN,,,,NEUTRAL
156310,Blocked Sidewalk,The construction crew working on the new building across from Kroger constantly blocks the multi-use path. The license plate of the truck blocking the path this morning is TK 990LMG.,Police Department,1116 S College Mall RD,Bloomington,IN,47401.0,39.15361785888672,-86.4979019165039,NEUTRAL
156409,Blocked Sidewalk,Bushes grown across sidewalk.... again,,2107 W 3rd St,Bloomington,IN,,39.15994262695312,-86.56814575195312,NEUTRAL
156410,Blocked Sidewalk,Sidewalk blocked by brush blocking access to crossing street at ramp. Entire west side of street has been unmaintained all of 2016,,600–628 S Basswood Dr,Bloomington,IN,,39.15570449829102,-86.57228088378906,NEGATIVE
156430,Blocked Sidewalk,"Tenants are leaving large trash containers on the sidewalk, blocking pedestrian traffic.",HAND,805 N Lincoln ST,Bloomington,IN,47408.0,39.174049377441406,-86.53124237060547,NEGATIVE
156445,Blocked Sidewalk,Dangerous!! On Atwater east of Henderson.,Street Department,,Bloomington,IN,,,,POSITIVE
156446,Blocked Sidewalk,Fess below Hunter.,Street Department,,Bloomington,IN,,,,NEUTRAL
156508,Blocked Sidewalk,Sidewalk is blocked by limestone blocks. Potential tripping hazard.,Planning and Transportation,1427 South Washington Street,Bloomington,IN,,39.15071105957031,-86.532470703125,NEGATIVE
